1.41,0.04,0.88,0.12,0.02,0.03
1.51,1.22,0.82,0.47,0.08,0.14
1.61,3.28,0.77,0.61,0.14,0.23
1.71,3.88,0.72,0.64,0.18,0.22
1.81,6.87,0.68,0.68,0.22,0.32
1.91,10.25,0.65,0.71,0.25,0.41
2.01,13.40,0.62,0.71,0.27,0.49
2.11,15.44,0.59,0.69,0.29,0.54
2.21,17.26,0.56,0.72,0.32,0.54
2.31,18.58,0.54,0.70,0.32,0.57
2.41,19.77,0.51,0.73,0.36,0.56
